id,name,formula,charge,kegg_id,bigg_id,notes
3pg,3-phospho-d-glycerate,C3H4O7P,-3,C00197,3pg_c,
glyc__R,d-glycerate,C3H5O4,0,C00258,glyc__R_c,
h,H+,H,0,C00080,h_c,
adp,ADP,C10H12N5O10P2,-3,C00008,adp_c,
atp,ATP,C10H12N5O13P3,-4,C00002,atp_c,
glyald,d-glyceraldehyde,C3H6O3,0,C00577,glyald_c,
glyc,glycerol,C3H8O3,0,C00116,glyc_c,
nad,NAD+,C21H26N7O14P2,0,C00003,nad_c,
nadh,NADH,C21H27N7O14P2,0,C00004,nadh_c,
h2o,H2O,H2O,0,C00001,h2o_c,
3hppnl,3-hydroxypropanal,C3H6O2,0,C00969,3hppnl_c,
13ppd,"1,3-propanediol",C3H8O2,0,C02457,13ppd_c,
3hpp,3-hydroxypropionic acid,C3H5O3,-1,C01013,3hpp_c,
3php,3-phosphooxypyruvate,C3H2O7P,-3,C03232,3php_c,
akg,2-Oxoglutarate,C5H4O5,0,C00026,akg_c,
glu__L,L-Glutamate,C5H8NO4,0,C00025,glu__L_c,
etha,ethanolamine,C2H8NO,1,C00189,etha_c,
gly,glycine,C2H5NO2,0,C00037,gly_c,
pi,Orthophosphate,H1O4P,0,C00009,pi_c,
hpyr,Hydroxypyruvate,C3H3O4,-1,C00168,hpyr_c,
glx,Glyoxylate,C2HO3,-1,C00048,glx_c,
5aop,5-aminolevulinate,C5H9NO3,0,C00430,5aop_c,
pyr,pyruvate,C3H3O3,0,C00022,pyr_c,
2pg,2-phospho-d-glycerate,C3H4O7P,-3,C00631,2pg_c,
