id,name,formula,charge,kegg_id,bigg_id,notes
akg,2-oxoglutarate,C5H4O5,0,C00026,akg_c,
glu__L,L-glutamate,C5H8NO4,0,C00025,glu__L_c,
etoh,ethanol,C2H6O,0,C00469,etoh_c,
acald,acetaldehyde,C2H4O,0,C00084,acald_c,
nad,NAD+,C21H26N7O14P2,0,C00003,nad_c,
nadh,NADH,C21H27N7O14P2,0,C00004,nadh_c,
h,H+,H,0,C00080,h_c,
nh4,Ammonia,H4N,1,C00014,nh4_c,
h2o,H2O,H2O,0,C00001,h2o_c,
4abut,aminobutyric acid,C4H9NO2,0,C00334,4abut_c,
co2,CO2,CO2,0,C00011,co2_c,
hcarn,L-homocarnosine,C10H16N4O3,,C00884,hcarn_c,
his__L,L-Histidine,C6H9N3O2,0,C00135,his__L_c,
4gudbutn,4-guanidinobutanoate,C5H11N3O2,0,C01035,4gudbutn_c,
orn__L,L-Ornithine,C5H13N2O2,0,C00077,orn__L_c,
arg__L,L-Arginine,C6H15N4O2,0,C00062,arg__L_c,
gln__L,L-glutamine,C5H10N2O3,0,C00064,gln__L_c,
gam6p,D-glucosamine 6-phosphate,C6H13NO8P,-1,C00352,gam6p_c,
acorn,N-acetylornithine,C7H14N2O3,0,C00437,acorn_c,
acglu,N-Acetyl-L-glutamate,C7H9NO5,-2,C00624,acglu_c,
orn__L,L-Ornithine,C5H13N2O2,0,C00077,orn__L_c,
orn,L-ornithine,C5H13N2O2,1,C00077,orn_c,
acg5sa,N-Acetyl-L-glutamate 5-semialdehyde,C7H10NO4,-1,C01250,acg5sa_c,
ptrc,putrescine,C4H14N2,2,C00134,ptrc_c,
4abutn,4-aminobutyraldehyde,C4H10NO,0,C00555,4abutn_c,
citr__L,citrulline,C6H14N3O3,0,C00327,citr__L_c,
nh4,Ammonia,H4N,1,C00014,nh4_c,
argsuc,arginosuccinic acid,C10H17N4O6,-1,C03406,argsuc_c,
arg__L,L-arginine,C6H15N4O2,0,C00062,arg__L_c,
amp,AMP,C10H12N5O7P,-2,C00020,amp_c,
asp__L,L-Aspartate,C4H6NO4,0,C00049,asp__L_c,
ppi,Diphosphate,P2HO7,-3,C00013,ppi_c,
atp,ATP,C10H12N5O13P3,-4,C00002,atp_c,
fum,Fumarate,C4H2O4,-2,C00122,fum_c,
octp,octopine,C9H18N4O4,0,C04137,octp_c,
5g2oxpt,2-oxoarginine,C6H11N3O3,0,C03771,5g2oxpt_c,
nop,nopaline,C11H19N4O6,-1,C01682,nop_c,
pyr,Pyruvate,C3H3O3,0,C00022,pyr_c,
nadph,NADPH,C21H26N7O17P3,0,C00005,nadph_c,
nadp,NADP+,C21H25N7O17P3,0,C00006,nadp_c,
agm,agmatine,C5H16N4,2,C00179,agm_c,
fagm,feruloylagmatine,['C15H22N4O3'],NA,C18325,fagm_c,
ferulcoa,Feruloyl-CoA,C31H40N7O19P3S,-4,C00406,ferulcoa_c,
coa,CoA,C21H32N7O16P3S,0,C00010,coa_c,
Ncbmpts,N-carbamoyl putrescine,C5H14N3O,0,C00436,Ncbmpts_c,
nh4,Ammonia,H4N,1,C00014,nh4_c,
2cearg,2-carboxyethyl arginine,['C9H18N4O4'],NA,C06655,2cearg_c,
pro__L,L-proline,C5H9NO2,0,C00148,pro__L_c,
pro__D,D-proline,['C5H9NO2'],NA,C00763,pro__D_c,
1pyrr2c,1-pyrroline-2-carboxylate,['C5H7NO2'],NA,C03564,1pyrr2c_c,
1pyr5c,1-pyrroline-5-carboxylate,C5H6NO2,-1,C03912,1pyr5c_c,
4hpro_LT,L-hydroxyproline,C5H9NO3,0,C01157,4hpro_LT_c,
o2,Oxygen,O2,0,C00007,o2_c,
succ,Succinate,C4H4O4,-2,C00042,succ_c,
5aptn,5-aminovaleric acid,C5H11NO2,0,C00431,5aptn_c,
