id,name,rxns,product_id,product_tags,precursor_ids,litref,notes
glu__L,L-glutamate 1,['GLUDxi'],glu__L,,akg,,
4abut,aminobutyric acid 1,"['GLUDxi', 'GLUDC']",4abut,,akg,,
hcarn,L-homocarnosine acid 1,"['GLUDxi', 'GLUDC', 'AABHH']",hcarn,,akg,,
4gudbutn,4-guanidinobutanoate acid 1,"['GLUDxi', 'GLUDC', '4ABUTAT']",4gudbutn,,akg,,
gln__L,L-glutamine acid 1,"['GLUDxi', 'GLUSx']",gln__L,,akg,,
acorn,N-acetylornithine 1,"['GLUDxi', 'ACOTA']",acorn,,akg,,
orn,N-acetylornithine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1']",orn,,akg,,
ptrc,putrescine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNDC']",ptrc,,akg,,
4abutn,4-aminobutyraldehyde 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNDC', 'PTRCTA']",4abutn,,akg,,
4abut,GABA 2,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNDC', 'PTRCTA', 'ABUTD']",4abut,,akg,,
citr__L,citrulline 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL']",citr__L,,akg,,
argsuc,arginosuccinic acid 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS']",argsuc,,akg,,
arg__L,L-arginine acid 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL']",arg__L,,akg,,
octp,octopine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL', 'OCTS']",octp,,akg,,
5g2oxpt,2-oxoarginine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL', 'ARGORED']",5g2oxpt,,akg,,
nop,nopaline 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL', 'NOPD']",nop,,akg,,
agm,agmatine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL', 'ARGDC']",agm,,akg,,
fagm,feruloylagmatine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL', 'ARGDC', 'AGMDA']",fagm,,akg,,
fagm,feruloylagmatine 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'CTLCHL', 'ARGSS', 'ARGSL', 'ARGDC', 'AGMDA']",fagm,,akg,,
pro__L,L-proline 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNCD']",pro__L,,akg,,
pro__D,D-proline 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNCD', 'PRORACE']",pro__D,,akg,,
1pyrr2c,1-pyrroline-2-carboxylate 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNCD', 'PRORED']",1pyrr2c,,akg,,
1pyr5c,1-pyrroline-5-carboxylate 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNCD', 'P5CRx']",1pyr5c,,akg,,
4hpro_LT,L-hydroxyproline 1,"['GLUDxi', 'ACOTA', 'ORNTAC_1', 'ORNCD', 'PROAKGOX1']",4hpro_LT,,akg,,
