id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,R00754,ALCD2x,,
GLUDxi,Glutamate dehydrogenase  NAD ,glu__L_c + h2o_c + nad_c <=> akg_c + h_c + nadh_c + nh4_c,R00243,GLUDxi,,
GLUDC,Glutamate Decarboxylase,glu__L_c + h_c <=> 4abut_c + co2_c,R00261,GLUDC,,
AABHH,Alpha-Aminobutyryl histidine hydrolase,4abut_c + his__L_c <=> h2o_c + hcarn_c,R01992,AABHH,,
4ABUTAT,L-Arginine:4-aminobutanoate amidinotransferase,arg__L_c + 4abut_c <=> orn_c + 4gudbutn_c,R01989,4ABUTAT,,
GLUSx,Glutamate synthase  NADH2 ,akg_c + gln__L_c + h_c + nadh_c <=> 2.0 glu__L_c + nad_c,R00093,GLUSx,,
ORNTAC_1,Ornithine transacetylase,acorn_c + glu__L_c <=> acglu_c + orn__L_c,R02282,ORNTAC_1,,
ACOTA,Acetylornithine transaminase,acorn_c + akg_c <=> acg5sa_c + glu__L_c,R02283,ACOTA,,
ORNDC,Ornithine Decarboxylase,h_c + orn_c <=> co2_c + ptrc_c,R00670,ORNDC,,
PTRCTA,Putrescine Transaminase,akg_c + ptrc_c <=> 4abutn_c + glu__L_c,R01155,PTRCTA,,
ABUTD,Aminobutyraldehyde dehydrogenase,4abutn_c + h2o_c + nad_c <=> 4abut_c + 2.0 h_c + nadh_c,R02549,ABUTD,,
CTLCHL,L-Citrulline N5-carbamoyldihydrolase,citr__L_c + h2o_c <=> orn_c + co2_c + nh3_c,R00665,CTLCHL,,
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <=> amp_c + argsuc_c + h_c + ppi_c,R01954,ARGSS,,
ARGSL,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,R01086,ARGSL,,
OCTS,N2-(D-1-carboxyethyl)-L-arginine:NAD+ oxidoreductase (L-arginine-forming),octp_c + nad_c + h2o_c <=> arg__L_c + pyr_c + nadh_c + h_c,R00562,OCTS,,
ARGORED,L-arginine:NAD+ oxidoreductase (deaminating),5g2oxpt_c + nadh_c + h_c + nh3_c <=> arg__L_c + nad_c + h2o_c,R11031,ARGORED,,
NOPD,D-nopaline dehydrogenase,h2o_c + nadp_c + nop_c <=> akg_c + arg__L_c + h_c + nadph_c,R00563,NOPD,,
ARGDC,Arginine decarboxylase,arg__L_c + h_c <=> agm_c + co2_c,R00566,ARGDC,,
FAGMS,feruloyl-CoA:agmatine feruloyltransferase,ferulcoa_c + agm_c <=> coa_c + fagm_c,R09255,FAGMS,,
AGMDA,Agmatine deaminase,agm_c + h2o_c <=> h_c + nh4_c + Ncbmpts_c,R01416,AGMDA,,
ORNCD,Ornithine cyclodeaminase,orn_c <=> nh4_c + pro__L_c,R00671,ORNCD,,
PRORACE,proline racemase,pro__L_c <=> pro__D_c,R01255,PRORACE,,
PRORED,L-proline:NAD+ 2-oxidoreductase,pro__L_c + nad_c <=> 1pyrr2c_c + nadh_c + h_c,R01246,PRORED,,
P5CRx,Pyrroline-5-carboxylate reductase(nadh),1pyr5c_c + 2.0 h_c + nadh_c <=> nad_c + pro__L_c,R01248,P5CRx,,
PROAKGOX1,Prolyl 4-hydroxylase,akg_c + o2_c + pro__L_c <=> co2_c + succ_c + 4hpro_LT_c,R01252,PROAKGOX1,,
