id,name,formula,charge,kegg_id,bigg_id,notes
f6p,fructose 6-phosphate,C6H11O9P,-2.0,C05345,f6p_c,
xu5p__D,D-Xylulose 5-phosphate,C5H9O8P,-2,C00231,xu5p__D_c,
e4p,D-Erythrose 4-phosphate,C4H7O7P,-2,C00279,e4p_c,
f6p,beta-D-Fructose,C6H11O9P,-2,C05345,f6p_c,
g3p,D-Glyceraldehyde,C3H5O6P,-2,C00118,g3p_c,
ru5p__D,D-Ribulose 5-phosphate,C5H9O8P,-2,C00199,ru5p__D_c,
r5p,Ribose 5-phosphate,C5H9O8P,-2.0,C00117,r5p_c,
prpp,5-Phospho-alpha-D-ribose 1-diphosphate,C5H8O14P3,-5,C00119,prpp_c,
atp,atp,C10H12N5O13P3,-4,C00002,atp_c,
amp,AMP,C10H12N5O7P,-2,C00020,amp_c,
prbatp,1-(5-Phospho-D-ribosyl)-ATP,C15H19N5O20P4,-6,C02739,prbatp_c,
prbatp,1-(5-Phospho-D-ribosyl)-ATP,C15H19N5O20P4,-6,C02739,prbatp_c,
ppi,Diphosphate,H1P2O7,-3,C00013,ppi_c,
prbamp,Phosphoribosyl-AMP,C15H19N5O14P2,-4,C02741,prbamp_c,
h,H+,H,1,C00080,h_c,
h2o,H2O,H2O,0,C00001,h2o_c,
prfp,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,C15H21N5O15P2,-4,C04896,prfp_c,
prlp,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,C15H21N5O15P2,-4,C04916,prlp_c,
eig3p,D-erythro-Imidazole-glycerol 3-phosphate,C6H9N2O6P,-2,C04666,eig3p_c,
aicar,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,C9H13N4O8P,-2,C04677,aicar_c,
nh3,Ammonia,NH3,0,C00014,nh3_c,
imacp,Imidazole-acetol phosphate,C6H7N2O5P,-2,C01267,imacp_c,
hisp,L-Histidinol phosphate,C6H11N3O4P,-1,C01100,hisp_c,
glu__L,L-glutamate,C5H8NO4,-1,C00025,glu__L_c,
akg,2-oxoglutarate,C5H4O5,-2,C00026,akg_c,
histd,L-Histidinol,C6H12N3O,1,C00860,histd_c,
