id,name,rxns,product_id,product_tags,precursor_ids,litref,notes
L-Histidine_fructose 6-phosphate_0,L-Histidine_fructose 6-phosphate_0,"['TKT2', 'RPE', 'R5PISO', 'R5PDIP', 'ATPPRT', 'PRATPP', 'PRAMPC_1', 'PRMICI', 'IMG3PAL', 'IGPDH', 'HSTPT', 'HP', 'HDH']",his__L,,f6p,,
L-serine_3-Phospho-D-glycerate_0,L-serine_3-Phospho-D-glycerate_0,"['PGCD', 'PSERT', 'PSP_L']",ser__L,,3pg,,
glycine_3-Phospho-D-glycerate_0,glycine_3-Phospho-D-glycerate_0,"['PGCD', 'PSERT', 'PSP_L', 'SPT_syn']",gly,,3pg,,
L-threonine_3-Phospho-D-glycerate_0,L-threonine_3-Phospho-D-glycerate_0,"['PGCD', 'PSERT', 'PSP_L', 'SPT_syn', 'THRA']",thr__L,,3pg,,
L-cysteine_3-Phospho-D-glycerate_0,L-cysteine_3-Phospho-D-glycerate_0,"['PGCD', 'PSERT', 'PLSACT']",cys__L,,3pg,,
L-Methionine_3-Phospho-D-glycerate_0,L-Methionine_3-Phospho-D-glycerate_0,"['PGCD', 'PSERT', 'PSP_L', 'CYSTS', 'CYSTL', 'HCYSMT']",met__L,,3pg,,
L-Isoleucine_pyruvate_0,L-Isoleucine_pyruvate_0,"['R2METHMALSYN', 'R2METHMALHL', 'CITCIb', '3METHMALORED', 'ACHBS', 'S2AHBUTORED', '23DHMPENTORED', 'DHAD2', 'ISOLEUORED']",ile__L,,pyr,,
L-Alanine_pyruvate_0,L-Alanine_pyruvate_0,['ALAD_L'],ala__L,,pyr,,
L-Aspartate_pyruvate_0,L-Aspartate_pyruvate_0,"['ALAD_L', 'ASP4DC']",asp__L,,pyr,,
L-Asparagine_pyruvate_0,L-Asparagine_pyruvate_0,"['ALAD_L', 'ASP4DC', 'ASNS2']",asn__L,,pyr,,
L-arginine_2-oxoglutarate_0,L-arginine_2-oxoglutarate_0,"['GDH1', 'PUTA3', 'ORNTA', 'ARGN']",arg__L,,akg,,
L-glutamate_2-oxoglutarate_0,L-glutamate_2-oxoglutarate_0,['GDH1'],glu__L,,akg,,
L-glutamine_2-oxoglutarate_0,L-glutamine_2-oxoglutarate_0,"['GDH1', 'GLUSx']",gln__L,,akg,,
L-proline_2-oxoglutarate_0,L-proline_2-oxoglutarate_0,"['GDH1', 'PUTA3', 'ORNTA', 'ORNCD']",pro__L,,akg,,
L-lysine_pyruvate_0,L-lysine_pyruvate_0,"['ALAD_L', 'ASP4DC', 'ASPK', 'ASAD', 'HTPAHL', 'HTPAORED', 'LDAPAT', 'DAPE', 'DAPDC']",lys__L,,pyr,,
L-tyrosine_D-Erythrose 4-phosphate_0,L-tyrosine_D-Erythrose 4-phosphate_0,"['DDPA', 'DHQS', 'DHQTi', 'SHK3Dr', 'SHKK', 'PSCVT', 'CHORS', 'CHORM', 'PPND', 'TYRTA']",tyr__L,,e4p,,
L-phenylalanine_D-Erythrose 4-phosphate_0,L-phenylalanine_D-Erythrose 4-phosphate_0,"['DDPA', 'DHQS', 'DHQTi', 'SHK3Dr', 'SHKK', 'PSCVT', 'CHORS', 'CHORM', 'PPNDH', 'PHEORED']",phe__L,,e4p,,
L-Valine_pyruvate_0,L-Valine_pyruvate_0,"['ACLS', 'DIMBUTORED', 'DHAD1', 'LVALORED_nadp']",val__L,,pyr,,
L-Leucine_pyruvate_0,L-Leucine_pyruvate_0,"['ACLS', 'DIMBUTORED', 'DHAD1', 'IPPS', 'ISOPROPMALSYN', 'ISOPROPMALORED', 'LLEUDr']",leu__L,,pyr,,
L-tryptophan_D-Erythrose 4-phosphate_0,L-tryptophan_D-Erythrose 4-phosphate_0,"['DDPA', 'DHQS', 'DHQTi', 'SHK3Dr', 'SHKK', 'PSCVT', 'CHORS', 'ANS2', 'ANPRT', 'PRAIi', 'IGPS', 'TRPS3', 'TRPAS2']",trp__L,,e4p,,
