id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
TKT2,Transketolase,e4p_c + xu5p__D_c <=> f6p_c + g3p_c,R01830,TKT2,,
RPE,Ribulose 5-phosphate 3-epimerase,ru5p__D_c <=> xu5p__D_c,R01529,RPE,,
R5PISO,D-ribose-5-phosphate aldose-ketose-isomerase,r5p_c <=> ru5p__D_c,R01056,R5PISO,,
R5PDIP,ATP:D-ribose-5-phosphate diphosphotransferase,atp_c + r5p_c <=> amp_c + prpp_c + h_c,R01049,R5PDIP,,
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c <=> ppi_c + prbatp_c,R01071,ATPPRT,,
PRATPP,Phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c <=> h_c + ppi_c + prbamp_c,R04035,PRATPP,,
PRAMPC_1,Phosphoribosyl AMP cyclohydrolase,h2o_c + prbamp_c <=> prfp_c,R04037,PRAMPC_1,,
PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,prfp_c <=> prlp_c,R04640,PRMICI,,
IMG3PAL,DEFINITION,prlp_c + nh3_c <=> aicar_c + eig3p_c + h2o_c,R12152,IMG3PAL,,
IGPDH,Imidazoleglycerol-phosphate dehydratase,eig3p_c <=> h2o_c + imacp_c,R03457,IGPDH,,
HSTPT,Histidinol-phosphate transaminase,glu__L_c + imacp_c <=> akg_c + hisp_c,R03243,HSTPT,,
HP,"Histidinol-phosphatase, cytosol",h2o_c + hisp_c <=> histd_c + pi_c,R03013,HP,,
HDH,"Histidinol dehydrogenase, cytosol",h2o_c + histd_c + 2.0 nad_c <=> 3.0 h_c + his__L_c + 2.0 nadh_c,R01158,HDH,,
PGCD,Phosphoglycerate dehydrogenase,3pg_c + nad_c <=> 3php_c + h_c + nadh_c,R01513,PGCD,,
PSERT,Phosphoserine transaminase,3php_c + glu__L_c <=> akg_c + pser__L_c,R04173,PSERT,,
PSP_L,Phosphoserine phosphatase (L-serine),h2o_c + pser__L_c <=> pi_c + ser__L_c,R00582,PSP_L,,
SPT_syn,Serine-glyoxilate aminotransferase,glx_c + ser__L_c <=> gly_c + hpyr_c,R00588,SPT_syn,,
THRA,Threonine aldolase,thr__L_c <=> acald_c + gly_c,R00751,THRA,,
PLSACT,O-phospho-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase,h_c + pser__L_c + h2s_c <=> cys__L_c + pi_c,R07274,PLSACT,,
CYSTS,Cystathionine beta synthase,hcys__L_c + ser__L_c <=> cyst__L_c + h2o_c,R01290,CYSTS,,
CYSTL,Cystathionine b-lyase,cyst__L_c + h2o_c <=> hcys__L_c + nh3_c + h_c + pyr_c,R01286,CYSTL,,
HCYSMT,Homocysteine S-methyltransferase,amet_c + hcys__L_c <=> ahcys_c + h_c + met__L_c,R00650,HCYSMT,,
R2METHMALSYN,DEFINITION,accoa_c + pyr_c + h2o_c <=> R2methmal_c + coa_c,R07399,R2METHMALSYN,,
R2METHMALHL,(R)-2-Methylmalate hydro-lyase (2-methylmaleate-forming),R2methmal_c <=> citac_c + h2o_c + h_c,R03896,R2METHMALHL,,
CITCIb,3-methylmalate hydratase,h2o_c + citac_c <=> r3mmal_c,R03898,CITCIb,,
3METHMALORED,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase",2obut_c + co2_c + nadh_c <=> r3mmal_c + nad_c,R00994,3METHMALORED,,
ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c <=> 2ahbut_c + co2_c,R08648,ACHBS,,
ISOLEUORED,L-Isoleucine:NAD+ oxidoreductase(deaminating),ile__L_c + nad_c + h2o_c <=> 3mop_c + nh3_c + nadh_c + 2.0 h_c,R02196,ISOLEUORED,,
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",23dhmp_c <=> 3mop_c + h2o_c,R05070,DHAD2,,
S2AHBUTORED,(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing),2ahbut_c <=> 3hmop_c,R05069,S2AHBUTORED,,
23DHMPENTORED,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)",23dhmp_c + nadp_c <=> 3hmop_c + nadph_c + h_c,R05068,23DHMPENTORED,,
ALAD_L,L-alanine dehydrogenase,ala__L_c + h2o_c + nad_c <=> h_c + nadh_c + nh3_c + h_c + pyr_c,R00396,ALAD_L,,
ASP4DC,Aspartate 4-decarboxylase,asp__L_c + h_c <=> ala__L_c + co2_c,R00397,ASP4DC,,
ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh3_c <=> amp_c + asn__L_c + ppi_c,R00483,ASNS2,,
GDH1,Glutamate dehydrogenase (NAD),glu__L_c + h2o_c + nad_c <=> akg_c + 2.0 h_c + nadh_c + nh3_c,R00243,GDH1,,
PUTA3,PUTA3,glu5sa_c + h2o_c + nad_c <=> glu__L_c + 2.0 h_c + nadh_c,R00245,PUTA3,,
ORNTA,Ornithine transaminase,akg_c + orn_c <=> glu__L_c + glu5sa_c,R00667,ORNTA,,
