id,name,formula,charge,kegg_id,bigg_id,notes
h,H+,H,1,C00080,h_c,
pyr,pyruvate,C3H3O3,-1,C00022,pyr_c,
acald,acetaldehyde,C2H4O,0,C00084,acald_c,
co2,CO2,CO2,0,C00011,co2_c,
etoh,ethanol,C2H6O,0,C00469,etoh_c,
nad,NAD+,C21H26N7O14P2,-1,C00003,nad_c,
nadh,NADH,C21H27N7O14P2,-2,C00004,nadh_c,
lac__D,lactate,C3H5O3,-1,C00256,lac__D_c,
accoa,acetyl-coa,C23H34N7O17P3S,-4,C00024,accoa_c,
pi,Orthophosphate,H1PO4,-2,C00009,pi_c,
actp,acetyl phosphate,C2H3O5P,-2,C00227,actp_c,
coa,CoA,C21H32N7O16P3S,-4,C00010,coa_c,
ac,Acetate,C2H3O2,-1,C00033,ac_c,
atp,atp,C10H12N5O13P3,-4,C00002,atp_c,
adp,ADP,C10H12N5O10P2,-3,C00008,adp_c,
h2o,H2O,H2O,0,C00001,h2o_c,
oaa,Oxaloacetate,C4H2O5,-2,C00036,oaa_c,
cit,citrate,C6H5O7,-3,C00158,cit_c,
acon_C,cis-aconitate,C6H3O6,-3,C00417,acon_C_c,
icit,isocitrate,C6H5O7,-3,C00311,icit_c,
akg,2-oxoglutarate,C5H4O5,-2,C00026,akg_c,
succoa,succinyl-coa,C25H35N7O19P3S,-5,C00091,succoa_c,
succ,Succinate,C4H4O4,-2,C00042,succ_c,
fum,fumarate,C4H2O4,-2,C00122,fum_c,
mal__L,malate,C4H4O5,-2,C00149,mal__L_c,
lac__L,L-lactate,C3H5O3,-1,C00186,lac__L_c,
