id,name,rxns,product_id,product_tags,precursor_ids,litref,notes
ethanol_pyruvate_6,ethanol_pyruvate_6,"['PYRDC', 'ALCD2x']",etoh,,pyr,,
lactate_pyruvate_0,lactate_pyruvate_0,['LDH_D'],lac__D,,pyr,,
acetate_acetyl-coa_0,acetate_acetyl-coa_0,"['PTAr', 'ACKr']",ac,,accoa,,
citrate_acetyl-coa_0,citrate_acetyl-coa_0,['CS'],cit,,accoa,,
succinate_acetyl-coa_0,succinate_acetyl-coa_0,"['CS', 'ACONTa', 'ACONTb', 'ICDHx', 'AKGDH', 'SUCOAS']",succ,,accoa,,
isocitrate_acetyl-coa_0,isocitrate_acetyl-coa_0,"['CS', 'ACONTa', 'ACONTb']",icit,,accoa,,
2-oxoglutarate_acetyl-coa_0,2-oxoglutarate_acetyl-coa_0,"['CS', 'ACONTa', 'ACONTb', 'ICDHx']",akg,,accoa,,
fumarate_acetyl-coa_0,fumarate_acetyl-coa_0,"['CS', 'ACONTa', 'ACONTb', 'ICDHx', 'AKGDH', 'SUCOAS', 'SUCCORED']",fum,,accoa,,
malate_acetyl-coa_0,malate_acetyl-coa_0,"['CS', 'ACONTa', 'ACONTb', 'ICDHx', 'AKGDH', 'SUCOAS', 'SUCCORED', 'FUM']",mal__L,,accoa,,
L-lactate_pyruvate_0,L-lactate_pyruvate_0,['LDH_L'],lac__L,,pyr,,
e4p_0,e4p_0,[],e4p,,e4p,,
dhap_0,dhap_0,[],dhap,,dhap,,
pyr_0,pyr_0,[],pyr,,pyr,,
3pg_0,3pg_0,[],3pg,,3pg,,
g3p_0,g3p_0,[],g3p,,g3p,,
for_0,for_0,[],for,,pyr,,
oaa_0,oaa_0,[],oaa,,oaa,,
