id,name,formula,charge,kegg_id,bigg_id,notes
e4p,D-Erythrose 4-phosphate,C4H7O7P,-2,C00279,e4p_c,
h2o,H2O,H2O,0,C00001,h2o_c,
pep,Phosphoenolpyruvate,C3H2O6P,-3,C00074,pep_c,
2dda7p,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,-3,C04691,2dda7p_c,
pi,Orthophosphate,H1PO4,-2,C00009,pi_c,
3dhq,3-dehydroquinate,C7H9O6,-1,C00944,3dhq_c,
3dhsk,3-dehydroshikimate,C7H7O5,-1,C02637,3dhsk_c,
h,H+,H,1,C00080,h_c,
nadph,NADPH,C21H26N7O17P3,-4,C00005,nadph_c,
nadp,NADP+,C21H25N7O17P3,-3,C00006,nadp_c,
skm,shikimate,C7H9O5,-1,C00493,skm_c,
atp,atp,C10H12N5O13P3,-4,C00002,atp_c,
adp,ADP,C10H12N5O10P2,-3,C00008,adp_c,
skm5p,shikimate 3-phosphate,C7H8O8P,-3,C03175,skm5p_c,
3psme,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C10H9O10P,-4,C01269,3psme_c,
chor,chorismate,C10H8O6,-2,C00251,chor_c,
nh3,Ammonia,NH3,0,C00014,nh3_c,
anth,anthranilate,C7H6NO2,-1,C00108,anth_c,
pyr,pyruvate,C3H3O3,-1,C00022,pyr_c,
pphn,prephenate,C10H8O6,-2,C00254,pphn_c,
co2,CO2,CO2,0,C00011,co2_c,
phpyr,phenylpyruvate,C9H7O3,-1,C00166,phpyr_c,
phe__L,L-phenylalanine,C9H11NO2,0,C00079,phe__L_c,
nad,NAD+,C21H26N7O14P2,-1,C00003,nad_c,
nadh,NADH,C21H27N7O14P2,-2,C00004,nadh_c,
cinnm,cinnamic acid,C9H7O2,-1,C00423,cinnm_c,
styrene,styrene,C8H7,-1,C07083,styrene_c,
34hpp,4-hydroxy phenylpyruvate,C9H7O4,-1,C01179,34hpp_c,
akg,2-oxoglutarate,C5H4O5,-2,C00026,akg_c,
tyr__L,L-tyrosine,C9H11NO3,0,C00082,tyr__L_c,
glu__L,L-glutamate,C5H8NO4,-1,C00025,glu__L_c,
phenol,phenol,C6H7O,1,C00146,phenol_c,
o2,Oxygen,O2,0,C00007,o2_c,
catechol,catechol,C6H6O2,0,C00090,catechol_c,
T4hcinnm,coumaric acid,C9H7O3,-1,C00811,T4hcinnm_c,
coa,CoA,C21H32N7O16P3S,-4,C00010,coa_c,
amp,AMP,C10H12N5O7P,-2,C00020,amp_c,
ppi,Diphosphate,H1P2O7,-3,C00013,ppi_c,
coucoa,coumaroyl-coa,C30H38N7O18P3S,-4,C00223,coucoa_c,
malcoa,Malonyl-CoA,C24H33N7O19P3S,-5,C00083,malcoa_c,
resv,resveratrol,C14H12O3,0,C03582,resv_c,
prpp,5-Phospho-alpha-D-ribose,C5H8O14P3,-5,C00119,prpp_c,
pran,N-(5-Phospho-D-ribosyl)anthranilate,C12H13NO9P,-3,C04302,pran_c,
2cpr5p,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H13NO9P,-3,C01302,2cpr5p_c,
3ig3p,Indoleglycerol phosphate,C11H12NO6P,-2,C03506,3ig3p_c,
g3p,D-Glyceraldehyde,C3H5O6P,-2,C00118,g3p_c,
indole,indole,C8H7N,0,C00463,indole_c,
aniline,aniline,C6H7N,0,C00292,aniline_c,
trp__L,L-tryptophan,C11H12N2O2,0,C00078,trp__L_c,
thbpt,Tetrahydrobiopterin,C9H15N5O3,0,C00272,thbpt_c,
5Ltrp,5-Hydroxy-L-tryptophan,C11H12N2O3,0,C00643,5Ltrp_c,
CE2705,Dihydrobiopterin,C9H13N5O3,0,C00268,CE2705_c,
srtn,serotonin,C10H13N2O,1,C00780,srtn_c,
accoa,acetyl-coa,C23H34N7O17P3S,-4,C00024,accoa_c,
Nacsrtn,N-acetyl serotonin,C12H15N2O2,1,C00978,Nacsrtn_c,
amet,S-Adenosyl-L-methionine,C15H23N6O5S,1,C00019,amet_c,
ahcys,S-Adenosyl-L-homocysteine,C14H20N6O5S,0,C00021,ahcys_c,
meltonin,melatonin,C13H18N2O2,2,C01598,meltonin_c,
