id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,e4p_c + h2o_c + pep_c <=> 2dda7p_c + pi_c,R01826,DDPA,,
DHQS,3-dehydroquinate synthase,2dda7p_c <=> 3dhq_c + pi_c,R03083,DHQS,,
DHQTi,"3-dehydroquinate dehydratase, irreversible",3dhq_c <=> 3dhsk_c + h2o_c,R03084,DHQTi,,
SHK3Dr,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,R02413,SHK3Dr,,
SHKK,Shikimate kinase,atp_c + skm_c <=> adp_c + h_c + skm5p_c,R02412,SHKK,,
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <=> 3psme_c + pi_c,R03460,PSCVT,,
CHORS,Chorismate synthase,3psme_c <=> chor_c + pi_c,R01714,CHORS,,
ANS2,Anthranilate synthase 2,chor_c + nh3_c <=> anth_c + h2o_c + pyr_c,R00985,ANS2,,
CHORM,Chorismate mutase,chor_c <=> pphn_c,R01715,CHORM,,
PPNDH,Prephenate dehydratase,h_c + pphn_c <=> co2_c + h2o_c + phpyr_c,R01373,PPNDH,,
PHEORED,L-phenylalanine:NAD+ oxidoreductase (deaminating),phe__L_c + h2o_c + nad_c <=> phpyr_c + nh3_c + nadh_c + 2.0 h_c,R00688,PHEORED,,
PHEAL_cinn,L-phenylalanine ammonia-lyase (trans-cinnamate-forming),phe__L_c <=> cinnm_c + nh3_c + h_c,R00697,PHEAL_cinn,,
CINNCLASE,trans-cinnamate carboxy-lyase,cinnm_c <=> styrene_c + co2_c,R11070,CINNCLASE,,
PPND,Prephenate dehydrogenase,nad_c + pphn_c <=> 34hpp_c + co2_c + nadh_c,R01728,PPND,,
TYRTA,Tyrosine transaminase,akg_c + tyr__L_c <=> 34hpp_c + glu__L_c,R00734,TYRTA,,
TYRPHENOLASE,L-tyrosine phenol-lyase (deaminating; pyruvate-forming),tyr__L_c + h2o_c <=> phenol_c + pyr_c + nh3_c,R00728,TYRPHENOLASE,,
ANTHRANORED,"Anthranilate,NADH:oxygen oxidoreductase (1,2-hydroxylating, deaminating, decarboxylating)",anth_c + o2_c + nadh_c + 2.0 h_c <=> catechol_c + nh3_c + co2_c + nad_c,R00823,ANTHRANORED,,
TAL,L-tyrosine ammonia-lyase (trans-p-hydroxycinnamate-forming),tyr__L_c <=> T4hcinnm_c + nh3_c + h_c,R00737,TAL,,
4CMCOAS,4-Coumarate:Coa Ligase (AMP-Forming),atp_c + coa_c + T4hcinnm_c <=> amp_c + ppi_c + coucoa_c,R01616,4CMCOAS,,
COUCOAMALCOAT,Malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing),3 malcoa_c + coucoa_c + 3 h_c <=> 4 coa_c + resv_c + 4 co2_c,R01614,COUCOAMALCOAT,,
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c <=> ppi_c + pran_c,R01073,ANPRT,,
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),pran_c <=> 2cpr5p_c,R03509,PRAIi,,
IGPS,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c <=> 3ig3p_c + co2_c + h2o_c,R03508,IGPS,,
TRPS3,Tryptophan synthase (indoleglycerol phosphate),3ig3p_c <=> g3p_c + indole_c,R02340,TRPS3,,
ANILINECLASE,2-Aminobenzoate carboxy-lyase,anth_c + h_c <=> aniline_c + co2_c,R00990,ANILINECLASE,,
TRPAS2,Tryptophanase (L-tryptophan),h2o_c + trp__L_c <=> indole_c + nh3_c + h_c + pyr_c,R00673,TRPAS2,,
5LTRPSYN,"L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating)",thbpt_c + trp__L_c + o2_c <=> 5Ltrp_c + CE2705_c + h2o_c,R01814,5LTRPSYN,,
5LTRPDCLASE,5-Hydroxy-L-tryptophan decarboxy-lyase,5Ltrp_c <=> srtn_c + co2_c,R02701,5LTRPDCLASE,,
NACSRTNSYN,acetyl-CoA:aralkylamine N-acetyltransferase,accoa_c + srtn_c <=> coa_c + Nacsrtn_c,R02911,NACSRTNSYN,,
MELTONINSYN,S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase,amet_c + Nacsrtn_c <=> ahcys_c + meltonin_c,R03130,MELTONINSYN,,
