id,name,formula,charge,kegg_id,bigg_id,notes
g3p,glyceraldehyde 3-phosphate,C3H9O6P,0,C00118,g3p_c,
dhap,dihydroxyacetone phosphate,C3H5O6P,-2,C00111,dhap_c,
glyc3p,glycerol 3-phosphate,C3H7O6P,-2,C00093,glyc3p_c,
dha,glycerone,C3H6O3,0,C00184,dha_c,
nadh,NADH,C21H27N7O14P2,0,C00004,nadh_c,
nad,NAD+,C21H26N7O14P2,0,C00003,nad_c,
h,H+,H,0,C00080,h_c,
pi,Orthophosphate,H1O4P,0,C00009,pi_c,
h2o,H2O,H2O,0,C00001,h2o_c,
glyc,glycerol,C3H8O3,0,C00116,glyc_c,
3hppnl,3-hydroxypropanal,C3H6O2,0,C00969,3hppnl_c,
13ppd,"1,3-propanediol",C3H8O2,0,C02457,13ppd_c,
mthgxl,methylglyoxal,C3H4O2,0,C00546,mthgxl_c,
lald__L,lactaldehyde,C3H6O2,0,C00424,lald__L_c,
acetol,acetol,C3H6O2,0,C05235,acetol_c,
nadp,NADP+,C21H25N7O17P3,0,C00006,nadp_c,
nadph,NADPH,C21H26N7O17P3,0,C00005,nadph_c,
