id,name,rxns,product_id,product_tags,precursor_ids,litref,notes
L-Aspartate_oxaloacetate_0,L-Aspartate_oxaloacetate_0,['ASPTA'],asp__L,,oaa,,
aspartate semialdehyde_oxaloacetate_0,aspartate semialdehyde_oxaloacetate_0,"['ASPTA', 'ASPORED']",aspsa,,oaa,,
homoserine_oxaloacetate_0,homoserine_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi']",hom__L,,oaa,,
O-Phospho-L-homoserine_oxaloacetate_0,O-Phospho-L-homoserine_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi', 'HSK']",phom,,oaa,,
L-threonine_oxaloacetate_0,L-threonine_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi', 'HSK', 'THRS']",thr__L,,oaa,,
2-ketobutyric acid_oxaloacetate_0,2-ketobutyric acid_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi', 'HSK', 'THRS', 'THRD_L']",2obut,,oaa,,
propionyl-coa_oxaloacetate_0,propionyl-coa_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi', 'HSK', 'THRS', 'THRD_L', 'OBTFL']",ppcoa,,oaa,,
propionic acid_oxaloacetate_0,propionic acid_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi', 'HSK', 'THRS', 'THRD_L', 'OBTFL', 'prpncdLigase']",prpcd,,oaa,,
methylmalonyl coa_oxaloacetate_0,methylmalonyl coa_oxaloacetate_0,"['ASPTA', 'ASPORED', 'HSDxi', 'HSK', 'THRS', 'THRD_L', 'OBTFL', 'mmalcoaCL']",mmalcoa,,oaa,,
L-Lysine_oxaloacetate_0,L-Lysine_oxaloacetate_0,"['ASPTA', 'ASPORED', 'ASPSEMIHL', 'HTPAORED', 'LDAPAT', 'DAPE', 'DAPDC']",lys__L,,oaa,,
5-Aminopentanamide_oxaloacetate_0,5-Aminopentanamide_oxaloacetate_0,"['ASPTA', 'ASPORED', 'ASPSEMIHL', 'HTPAORED', 'LDAPAT', 'DAPE', 'DAPDC', 'LYSMO']",5apentam,,oaa,,
5-Aminovaleric acid_oxaloacetate_0,5-Aminovaleric acid_oxaloacetate_0,"['ASPTA', 'ASPORED', 'ASPSEMIHL', 'HTPAORED', 'LDAPAT', 'DAPE', 'DAPDC', 'LYSMO', 'APENTAMAH']",5aptn,,oaa,,
glutarate semialdehyde_oxaloacetate_0,glutarate semialdehyde_oxaloacetate_0,"['ASPTA', 'ASPORED', 'ASPSEMIHL', 'HTPAORED', 'LDAPAT', 'DAPE', 'DAPDC', 'LYSMO', 'APENTAMAH', 'APTNAT']",oxptn,,oaa,,
glutaric acid_oxaloacetate_0,glutaric acid_oxaloacetate_0,"['ASPTA', 'ASPORED', 'ASPSEMIHL', 'HTPAORED', 'LDAPAT', 'DAPE', 'DAPDC', 'LYSMO', 'APENTAMAH', 'APTNAT', 'OXPTNDH']",glutar,,oaa,,
