id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,R00355,ASPTA,,
ASPORED,L-Aspartate-4-semialdehyde:NAD+ oxidoreductase,aspsa_c + nad_c + h2o_c <=> asp__L_c + nadh_c + 2 h_c,R09805,ASPORED,,
HSDxi,Homoserine dehydrogenase  NADH   irreversible,aspsa_c + h_c + nadh_c <=> hom__L_c + nad_c,R01773,HSDxi,,
HSK,Homoserine kinase,atp_c + hom__L_c <=> adp_c + h_c + phom_c,R01771,HSK,,
THRS,Threonine synthase,h2o_c + phom_c <=> pi_c + thr__L_c,R01466,THRS,,
THRD_L,L-threonine deaminase,thr__L_c <=> 2obut_c + nh3_c +h_c,R00996,THRD_L,,
OBTFL,2-Oxobutanoate formate lyase,2obut_c + coa_c <=> for_c + ppcoa_c,R06987,OBTFL,,
prpncdLigase,propanoate:CoA ligase (ADP-forming),atp_c + prpcd_c + coa_c <=> adp_c + pi_c + ppcoa_c,R00920,prpncdLigase,,
mmalcoaCL,methylmalonyl-CoA carboxy-lyase,mmalcoa_c <=> ppcoa_c + co2_c,R05373,mmalcoaCL,,
ASPSEMIHL,"L-aspartate-4-semialdehyde hydro-lyase [adding pyruvate and cyclizing; (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate-forming]",aspsa_c + pyr_c <=> htpa_c + h2o_c,R10147,ASPSEMIHL,,
HTPAORED,"2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase",thdp_c + nad_c + h2o_c <=> htpa_c + nadh_c,R04198,HTPAORED,,
LDAPAT,LL-diaminopimelate aminotransferase,26dap_LL_c + akg_c <=> glu__L_c + h_c + h2o_c + thdp_c,R07613,LDAPAT,,
DAPE,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,R02735,DAPE,,
DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c <=> co2_c + lys__L_c,R00451,DAPDC,,
LYSMO,Lysine oxygenase,lys__L_c + o2_c <=> co2_c + h_c + h2o_c + 5apentam_c,R00449,LYSMO,,
APENTAMAH,APENTAMAH,h2o_c + 5apentam_c <=> 5aptn_c + nh3_c,R02273,APENTAMAH,,
APTNAT,5-aminopentanoate:2-oxoglutarate aminotransferase,akg_c + 5aptn_c <=> glu__L_c + oxptn_c,R02274,APTNAT,,
OXPTNDH,Glutarate-semialdehyde:NAD+ oxidoreductase,h2o_c + nad_c + oxptn_c <=> 2.0 h_c + nadh_c + glutar_c,R02401,OXPTNDH,,
