id,name,formula,charge,kegg_id,bigg_id,notes
meoh,methanol,CH4O,0,C00132,meoh_c,
aacoa,acetoacetyl-coa,C25H36N7O18P3S,-4,C00332,aacoa_c,
coa,CoA,C21H32N7O16P3S,-4,C00010,coa_c,
accoa,acetyl-coa,C23H34N7O17P3S,-4,C00024,accoa_c,
h2o,H2O,H2O,0,C00001,h2o_c,
h,H+,H,1,C00080,h_c,
acetone,acetone,C3H6O,0,C00207,acetone_c,
co2,CO2,CO2,0,C00011,co2_c,
nadph,NADPH,C21H26N7O17P3,-4,C00005,nadph_c,
o2,Oxygen,O2,0,C00007,o2_c,
meth_ac,methyl acetate,C3H6O2,0,C17530,meth_ac_c,
nadp,NADP+,C21H25N7O17P3,-3,C00006,nadp_c,
ac,Acetate,C2H3O2,-1,C00033,ac_c,
ppoh,1-propanol,C3H8O,0,C05979,ppoh_c,
msa,malonate semialdehyde,C3H3O3,-1,C00222,msa_c,
nad,NAD+,C21H26N7O14P2,-1,C00003,nad_c,
nadh,NADH,C21H27N7O14P2,-2,C00004,nadh_c,
3hpp,3-hydroxypropanoate,C3H5O3,-1,C01013,3hpp_c,
3hpcoa,3-hydroxypropionyl-coa,C24H36N7O18P3S,-4,C05668,3hpcoa_c,
ppi,Diphosphate,H1P2O7,-3,C00013,ppi_c,
amp,AMP,C10H12N5O7P,-2,C00020,amp_c,
atp,atp,C10H12N5O13P3,-4,C00002,atp_c,
prpncoa,acryloyl-coa,C24H34N7O17P3S,-4,C00894,prpncoa_c,
ppcoa,propanoyl-coa,C24H36N7O17P3S,-4,C00100,ppcoa_c,
ppal,propanal,C3H6O,0,C00479,ppal_c,
2ppoh,2-propanol,C3H8O,0,C01845,2ppoh_c,
ibut,isobutanol,C4H9O,-1,NA,ibut_c,
pyr,pyruvate,C3H3O3,-1,C00022,pyr_c,
alac__S,acetolactate,C5H7O4,-1,C06010,alac__S_c,
3mob,2-oxoisovalerate,C5H7O3,-1,C00141,3mob_c,
ibutald,isobutyraldehyde,C4H7O,-1,na,ibutald_c,
ghb,4-hydroxybutanoate,C4H7O3,-1,C00989,ghb_c,
4hbutcoa,4-hydroxybutanoyl-coa,C25H38N7O18P3S,-4,C11062,4hbutcoa_c,
b2coa,crotonoyl-coa,C25H36N7O17P3S,-4,C00877,b2coa_c,
btcoa,butanoyl-coa,C25H38N7O17P3S,-4,C00136,btcoa_c,
btal,butanal,C4H8O,0,C01412,btal_c,
btoh,butanol,C4H10O,NA,C06142,btoh_c,
acac,acetoacetate,C4H5O3,-1,C00164,acac_c,
23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,-1,C04272,23dhmb_c,
accoa,acetyl-coa,C23H34N7O17P3S,-4,C00024,accoa_c,
3hbcoa,(S)-3-hydroxybutanoyl-coa,C25H38N7O18P3S,-4,C01144,3hbcoa_c,
R3hybutcoa,(R)-3-hydroxybutanoyl-coa,C25H38N7O18P3S,-4,C03561,R3hybutcoa_c,
fad,FAD,C27H31N9O15P2,-2,C00016,fad_c,
fadh2,FADH2,C27H33N9O15P2,-2,C01352,fadh2_c,
