id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
KAT1,3-ketoacyl-CoA thiolase,aacoa_c + coa_c <=> 2.0 accoa_c,R00238,KAT1,,
ACACCOAHYLASE,acetoacetyl-CoA hydrolase,aacoa_c + h2o_c <=> acac_c + coa_c + h_c,R01358,ACACCOAHYLASE,,
ACACCOACLASE,Acetoacetate carboxy-lyase (acetone-forming),h_c + acac_c <=> acetone_c + co2_c,R01366,ACACCOACLASE,,
ACETONEORED,"acetone,NADPH:oxygen oxidoreductase (methyl acetate-forming)",acetone_c + nadph_c + h_c + o2_c <=> meth_ac_c + nadp_c + h2o_c,R10704,ACETONEORED,,
METHACHYLASE,methyl acetate acetohydrolase,meth_ac_c + h2o_c <=> ac_c + meoh_c + h_c,R10705,METHACHYLASE,,
MMSAD3,Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),coa_c + msa_c + nad_c <=> accoa_c + co2_c + nadh_c,R00705,MMSAD3,,
3HPPD,3-hydroxypropionate dehydrogenase,3hpp_c + nad_c <=> h_c + msa_c + nadh_c,R01608,3HPPD,,
3HYPROPCOALIG,3-hydroxypropionate:CoA ligase (AMP-forming),3hpcoa_c + ppi_c + amp_c <=> 3hpp_c + coa_c + atp_c,R09286,3HYPROPCOALIG,,
HPHL,3-Hydroxypropionyl-CoA hydro-lyase,3hpcoa_c <=> h2o_c + prpncoa_c,R03045,HPHL,,
PROPCOAORED,propanoyl-CoA:NAD+ oxidoreductase,ppcoa_c + nad_c <=> prpncoa_c + nadh_c + h_c,R10161,PROPCOAORED,,
MMSAD2,Methylmalonate-semialdehyde dehydrogenase (propanol),coa_c + nad_c + ppal_c <=> h_c + nadh_c + ppcoa_c,R09097,MMSAD2,,
ALCD3ir,Alcohol dehydrogenase Propanal ,h_c + nadh_c + ppal_c <=> nad_c + ppoh_c,R02377,ALCD3ir,,
2PPOHORED,propan-2-ol:NAD+ oxidoreductase,2ppoh_c + nad_c <=> acetone_c + nadh_c + h_c,R10703,2PPOHORED,,
PPOHORED,propan-2-ol:NAD+ oxidoreductase,2ppoh_c + nad_c <=> acetone_c + nadh_c + h_c,R10703,PPOHORED,,
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c <=> alac__S_c + co2_c,R00226,ACLS,,
DIMBUTORED,"(2R)-2,3-dihydroxy-3-methylbutanoate:NAD+ oxidoreductase (isomerizing)",23dhmb_c + nad_c <=> alac__S_c + nadh_c + h_c,R10916,DIMBUTORED,,
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c <=> 3mob_c + h2o_c,R04441,DHAD1,,
KIVDC1,KIV Decarboxylase 1,3mob_c <=> ibutald_c + co2_c,NA,KIVDC1,,
ALCD_ibut,Alcohol Dehydrogenase (isobutanol),nad_c + ibut_c <=> ibutald_c + h_c + nadh_c,NA,ALCD_ibut,,
4HYBUTCOACT,acetyl-CoA:4-hydroxybutanoate CoA-transferase,ghb_c + accoa_c <=> 4hbutcoa_c + ac_c,R05336,4HYBUTCOACT,,
4HYBUTCOAHLASE,4-hydroxybutanoyl-CoA hydro-lyase,4hbutcoa_c <=> b2coa_c + h2o_c,R10782,4HYBUTCOAHLASE,,
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),b2coa_c + h_c + nadh_c <=> btcoa_c + nad_c,R01171,ACOAD1,,
BTCOARx,Butyryl-coA reductase (NADH),btcoa_c + h_c + nadh_c <=> btal_c + coa_c + nad_c,R01172,BTCOARx,,
ALCD4,Alcohol dehydrogenase (butanol),nad_c + btoh_c <=> btal_c + h_c + nadh_c,R03544,ALCD4,,
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,acac_c + accoa_c <=> aacoa_c + ac_c,R01359,ACACCT,,
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),aacoa_c + h_c + nadh_c <=> 3hbcoa_c + nad_c,R01975,HACD1,,
RS3HBUTCOISO,(S)-3-Hydroxybutanoyl-CoA 3-epimerase,3hbcoa_c <=> R3hybutcoa_c,R03276,RS3HBUTCOISO,,
R3HYBUTCOAHY,(3R)-3-hydroxybutanoyl-CoA hydro-lyase,R3hybutcoa_c <=> b2coa_c + h2o_c,R03027,R3HYBUTCOAHY,,
ACOAD1f,Acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c <=> b2coa_c + fadh2_c,R01175,ACOAD1f,,
BUTCOAORED,"butanoyl-CoA:NADP+ 2,3-oxidoreductase",btcoa_c + nadp_c <=> b2coa_c + nadph_c + h_c,R09738,BUTCOAORED,,
